"version"	"AUSSDA archive version"
"i2f102_1"	"Aussage Zustimmung/ Ablehnung: Arbeitnehmer brauchen starke Gewerkschaften, um ihre Interessen zu verteidigen"
"i2f102_2"	"Aussage Zustimmung/ Ablehnung: Starke Gewerkschaften sind schlecht für die österreichische Wirtschaft"
"i2f103"	"Einmal angenommen, Sie könnten selbst bestimmen, in welchem Umfang Sie zurzeit erwerbstätig sein wollen. Welche der folgenden Möglichkeiten würden Sie bevorzugen?"
"i2f105"	"Denken Sie bitte an die Anzahl Ihrer Arbeitsstunden und an das, was Sie einschließlich regulärer Überstunden in Ihrem Hauptberuf verdienen. Wenn Sie zwischen den folgenden drei Möglichkeiten wäh-len könnten, welche würden Sie bevorzugen?"
"i2f106_1"	"Zurteffend für Ihre Arbeit? Meine Berufsstellung ist sicher"
"i2f106_2"	"Zurteffend für Ihre Arbeit? Mein Einkommen ist hoch"
"i2f106_3"	"Zurteffend für Ihre Arbeit? Meine Aufstiegsmöglichkeiten sind gut"
"i2f106_4"	"Zurteffend für Ihre Arbeit? Meine Tätigkeit ist interessant"
"i2f106_5"	"Zurteffend für Ihre Arbeit? Ich kann selbständig arbeiten"
"i2f106_6"	"Zurteffend für Ihre Arbeit? In meinem Beruf kann ich anderen helfen"
"i2f106_7"	"Zurteffend für Ihre Arbeit? Mein Beruf ist für die Gesellschaft nützlich"
"i2f106_8"	"Zurteffend für Ihre Arbeit? Bei meiner Arbeit habe ich persönlichen Kontakts zu anderen Menschen"
"i2f107_1"	"Müssen Sie schwere körperliche Arbeit verrichten?"
"i2f107_2"	"Finden Sie Ihre Arbeit stressig?"
"i2f108_1"	"Während Ihrer üblichen Arbeitszeiten von zu Hause aus arbeiten?"
"i2f108_2"	"Am Wochenende arbeiten müssen?"
"i2f109"	"Welche der folgenden Aussagen beschreibt am ehesten, wie Ihre Arbeitszeiten festgelegt werden? (Mit Arbeitszeiten meinen wir die Uhrzeiten, zu denen Ihre Arbeit beginnt und endet, nicht die Ge-samtzahl der Stunden, die Sie pro Woche oder Monat arbeiten.)"
"i2f110"	"Welche der folgenden Aussagen beschreibt am besten Ihre üblichen Arbeitszeiten in Ihrem Hauptberuf?"
"i2f111"	"Welche der folgenden Aussagen beschreibt am besten, wie Ihre tägliche Arbeit organisiert wird?"
"i2f112"	"Wie schwierig wäre es für Sie während der Arbeitszeit eine oder zwei Stunden frei zu nehmen, damit Sie sich um persönliche Dinge oder Familienangelegenheiten kümmern können?"
"i2f113_1"	"Wie oft haben Sie das Gefühl, dass Ihre Berufstätigkeit Ihr Familienleben beeinträchtigt?"
"i2f113_2"	"Wie oft haben Sie das Gefühl, dass Ihr Familienleben Ihre Berufstätigkeit beeinträchtigt?"
"i2f114"	"Wieviel von Ihren Berufserfahrungen bzw. Ihren Arbeitsfertigkeiten können Sie in Ihrer jetzigen Arbeit verwenden?"
"i2f115"	"Haben Sie während der letzten zwölf Monate an einer beruflichen Weiterbildung teilgenommen, entweder am Arbeitsplatz oder irgendwo anders?"
"i2f116_1"	"Beschreibung Verhältnis am Arbeitsplatz: Zwischen Vorgesetzten und Mitarbeitern"
"i2f116_2"	"Beschreibung Verhältnis am Arbeitsplatz: Zwischen Kollegen bzw. Kolleginnen"
"i2f117"	"Wie zufrieden sind Sie im Allgemeinen in Ihrem Beruf?"
"i2f118_1"	"Aussage Zustimmung/ Ablehnung: Ich bin bereit, härter zu arbeiten als ich muss, um zum Erfolg meiner Firma/ Organisation beizutragen"
"i2f118_2"	"Aussage Zustimmung/ Ablehnung: Ich bin stolz darauf, für meine Firma/ Organisation zu arbeiten"
"i2f118_3"	"Aussage Zustimmung/ Ablehnung: Ich würde eine andere, besser bezahlte Stelle ablehnen, um bei meiner Firma/ Organisation zu bleiben"
"i2f119_1"	"Aussage Zustimmung/ Ablehnung: Wenn ich die Gelegenheit hätte, würde ich eine andere Tätigkeit meiner jetzigen vorziehen"
"i2f119_2"	"Aussage Zustimmung/ Ablehnung: Ich bin stolz auf meine jetzige Tätigkeit"
"i2f120"	"Was meinen Sie, wie leicht oder wie schwer wäre es für Sie, eine Stelle zu finden, die mindestens so gut ist wie die, die Sie jetzt haben?"
"i2f121"	"Alles in allem, wie wahrscheinlich ist es, dass Sie in den nächsten 12 Monaten versuchen, eine Stelle bei einer anderen Firma oder Organisation zu finden?"
"i2f122"	"Inwieweit, wenn überhaupt, machen Sie sich Sorgen, dass Sie eventuell Ihre Stelle verlieren könnten?"
"i2f123_1"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit eine Arbeit anzunehmen, die neue Fähigkeiten und Kenntnisse erfordert"
"i2f123_2"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit eine schlechter bezahlte Stelle anzunehmen"
"i2f123_3"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit eine befristete Stelle anzunehmen"
"i2f123_4"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit länger zur Arbeit zu fahren"
"i2f123_5"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit innerhalb von Österreich umzuziehen"
"i2f123_6"	"Aussage Zustimmung/ Ablehnung: Um Arbeitslosigkeit zu vermeiden, wäre ich bereit ins Ausland zu ziehen"
"i2f124"	"Hatten Sie in den letzten 12 Monaten neben Ihrer Haupttätigkeit noch weitere bezahlte Tätigkeiten?"
"i2f125"	"Wieviel haben Sie insgesamt in diesen 12 Monaten durch Ihre Nebentätigkeit(en) im Vergleich zu Ihrer Haupttätigkeit verdient? Haben Sie durch die Nebentätigkeit….?"
"i2f126"	"Waren Sie jemals für die Dauer von mindestens einem Jahr erwerbstätig?"
"i2f127_1"	"Bis zu welchem Jahr und Monat waren Sie zuletzt erwerbstätig? (Jahr)"
"i2f128"	"Wie zufrieden waren Sie in Ihrer letzten Berufstätigkeit?"
"i2f129"	"Was war der Hauptgrund dafür, dass Sie aufhörten, erwerbstätig zu sein?"
"i2f130"	"Wären Sie gerne jetzt oder zu einem späteren Zeitpunkt erwerbstätig?"
"i2f131"	"Was meinen Sie, wie wahrscheinlich ist es, dass Sie Arbeit finden würden?"
"i2f132"	"Inwieweit, wenn überhaupt, machen Sie sich Sorgen, dass Sie vielleicht keine Arbeit finden könnten?"
"i2f133_1"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit eine Arbeit anzunehmen, die neue Fähigkeiten und Kenntnisse erfordert"
"i2f133_2"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit eine schlechter bezahlte Stelle anzunehmen"
"i2f133_3"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit eine befristete Stelle anzunehmen"
"i2f133_4"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit länger zur Arbeit zu fahren"
"i2f133_5"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit innerhalb von Österreich umzuziehen"
"i2f133_6"	"Aussage Zustimmung/ Ablehnung: Um Arbeit zu finden, wäre ich bereit ins Ausland zu ziehen"
"i2f134_1"	"Aktivitäten Arbeitssuche letzte 12 Monate: Beim Arbeitsamt gemeldet"
"i2f134_2"	"Aktivitäten Arbeitssuche letzte 12 Monate: Eine private Arbeitsvermittlung eingeschaltet"
"i2f134_3"	"Aktivitäten Arbeitssuche letzte 12 Monate: Auf Stellenanzeigen hin beworben"
"i2f134_4"	"Aktivitäten Arbeitssuche letzte 12 Monate: Ein Stellengesuch aufgegeben, z.B. im Internet oder in einer Zeitung"
"i2f134_5"	"Aktivitäten Arbeitssuche letzte 12 Monate: Direkt bei Firmen/ Organisationen beworben"
"i2f134_6"	"Aktivitäten Arbeitssuche letzte 12 Monate: Verwandte, Freunde oder Kollegen um Hilfe bei der Arbeitssuche gebeten"
"i2f135"	"Haben Sie während der letzten zwölf Monate an einer beruflichen Weiterbildung teilgenommen?"
"i2f136"	"Sind Sie zurzeit auf Arbeitssuche?"
"i2f137"	"Was davon ist Ihre Haupteinkommensquelle?"
"i2f138"	"Inwieweit, wenn überhaupt, machen Sie sich Sorgen, dass Sie diese Haupteinkommensquelle verlieren könnten?"
"i2f139"	"Einstufung laut Frage 99"
"i2f140_1"	"Veränderungen im Arbeitsleben in den letzten 5 Jahren? Ich war länger als drei Monate hindurch arbeitslos"
"i2f140_2"	"Veränderungen im Arbeitsleben in den letzten 5 Jahren? Ich habe meinen Arbeitgeber gewechselt"
"i2f140_3"	"Veränderungen im Arbeitsleben in den letzten 5 Jahren? Ich habe meine berufliche Tätigkeit gewechselt"
"i2f140_4"	"Veränderungen im Arbeitsleben in den letzten 5 Jahren? Ich habe mich selbständig gemacht"
"i2f140_5"	"Veränderungen im Arbeitsleben in den letzten 5 Jahren? Ich habe eine zusätzliche Arbeit angenommen"
"i2f141"	"Alles in allem betrachtet, würden Sie sagen, Ihre Gesundheit ist…"
"i2f142_1"	"Aussage Zustimmung/ Ablehnung: Es ist gut für die österreichische Wirtschaft, dass Menschen über 60 erwerbstätig sind"
"i2f142_2"	"Aussage Zustimmung/ Ablehnung: Wenn Menschen über 60 erwerbstätig sind, nehmen sie den Jüngeren Arbeitsplätze weg"
"hf143"	"Können Sie mir sagen, in welche Stufe Ihr derzeitiges persönliches monatliches Bruttoeinkommen fällt? (OHNE 13./14. Bezug, OHNE Einmalzahlungen wie z.B. Prämien)"
"hf144"	"Nun denken Sie bitte an alle Einkünfte aller Haushaltsmitglieder: Erwerbseinkommen, Pensionen, Sozialleistungen usw. Was würden Sie sagen, wieviel Einkommen steht Ihrem Haushalt NETTO pro Monat zur Verfügung"
"hf145"	"Wie viele Personen leben insgesamt in Ihrem Haushalt? (Sie mitgerechnet)"
"hf147"	"Wohnen Sie in einer… ?"
"hf148"	"Wie würden Sie Ihre finanzielle Lage bezeichnen, was trifft für Sie am ehesten zu?"
"hf151"	"War bzw. ist Ihr Großvater väterlicherseits (zuletzt)…"
"hf152"	"Welche der Berufsbezeichnungen auf dieser Karte beschreibt die zuletzt ausgeübte Arbeit Ihres Großvaters väterlicherseits am besten?"
"hf153"	"Und war bzw. ist Ihr Großmutter väterlicherseits (zuletzt)…"
"hf154"	"Welche der Berufsbezeichnungen auf dieser Karte beschreibt die zuletzt ausgeübte Arbeit Ihrer Großmutter väterlicherseits am besten?"
"hf157"	"War bzw. ist Ihr Großvater mütterlicherseits (zuletzt)…"
"hf158"	"Welche der Berufsbezeichnungen auf dieser Karte beschreibt die zuletzt ausgeübte Arbeit Ihres Großvaters mütterlicherseits am besten?"
"hf159"	"Und war bzw. ist Ihr Großmutter mütterlicherseits (zuletzt)…"
"hf160"	"Welche der Berufsbezeichnungen auf dieser Karte beschreibt die zuletzt ausgeübte Arbeit Ihrer Großmutter mütterlicherseits am besten?"
"hf161"	"Viele Leute in Österreich neigen längere Zeit einer bestimmten politischen Partei zu, obwohl sie auch ab und zu eine andere Partei wählen. Stehen Sie persönlich einer bestimmten Partei gefühlsmäßig na-he oder ist das bei Ihnen nicht der Fall?"
"hf163"	"Haben Sie am 22. Mai dieses Jahres am zweiten Wahlgang der Bundespräsidentschaftswahl teilgenommen?"
"hf164"	"Und sagen Sie mir, wen Sie gewählt haben?"
"hf165_1"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er mir persönlich sympathisch ist"
"hf165_2"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er über politische Erfahrung und Kompetenz verfügt"
"hf165_3"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil der in Flüchtlings- und Asylfragen die richtige Position vertritt"
"hf165_4"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil ich mit meiner Stimme den Regierenden einen Denkzettel geben wollte"
"hf165_5"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er ein gutes Auftreten hat"
"hf165_6"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil der auf die Probleme der Menschen eingeht"
"hf165_7"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er Österreich im Ausland besser vertreten kann"
"hf165_8"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil ich den anderen Kandidaten verhindern wollte"
"hf165_9"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil ich Wähler seiner Partei bin"
"hf165_10"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er frischen Wind ins Amt bringen wird"
"hf165_11"	"Und warum haben Sie gerade diesen Kandidaten gewählt? Weil er für den Zusammenhalt der Gesellschaft eintritt"
"hf165_12"	"Und warum haben Sie gerade diesen Kandidaten gewählt? kann ich nicht sagen"
"hf166_1"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil ich mich für keinen der beiden Kandidaten entscheiden konnte"
"hf166_2"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil mein Kandidat bereits im ersten Wahlgang ausgeschieden ist"
"hf166_3"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil mich Politik nicht interessiert"
"hf166_4"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil es keinen Sinn macht, zu wählen"
"hf166_5"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil ich das Amt des Bundespräsidenten für überflüssig halte"
"hf166_6"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil keiner der Kandidaten meine Interessen vertritt"
"hf166_7"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil mir beide Kandidaten nicht zusagen"
"hf166_8"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Weil sich in der österreichischen Politik ohnehin nichts ändert"
"hf166_9"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Andere Gründe"
"hf166_10"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Kann ich nicht sagen"
"hf166_opn9"	"Warum beim zweiten Wahlgang der Bundespräsidentschaftswahl nicht teilgenommen? Andere Gründe"
"hf167"	"Haben Sie bereits am ersten Wahlgang der Bundespräsidentschaftswahl am 24. April dieses Jahres teilgenommen?"
"Altersgruppen"	"Altersgruppen"
"loc"	"Fand das Interview in Wien statt?"
"Schulbesuch"	"Geht die Person aktuell in die Schule oder besucht eine Universität?"
"Matura"	"Hat die Person die Matura abgelegt?"
"city"	"Lebt die Person in einer Stadt mit mehr als 100.000 Bewohnern?"
"Matura_vater"	"Hat der Vater der Person eine Matura abgelegt?"
"Matura_mutter"	"Hat die Mutter der Person eine Matura abgelegt?"
"Nationalitaet"	"Person hat österreichische Staatsbürgerschaft?"
"Geburtsland"	"Person in Österreich geboren?"
"Partnerschaft"	"Familienstand der befragten Person?"
"Matura_partner"	"Hat die/der Partner_in der Person eine Matura abgelegt?"
"Messgang"	"Wie oft nehmen Sie an einem Gottesdienst oder an einem gemeinsamen Gebet teil?"
"Wohnverhaeltnis"	"Mietet die Person oder wohnt sie in Eigentum?"
